C:\Users\paulz\anaconda3\envs\IPyHOP\python.exe "C:/Users/paulz/OneDrive/Documents/UMD/Research/Planning Nau/IPyHOP/examples/satellite/satellite_tests.py"
(2, 1000, 20, 3)
((1, 0, 0), (52, 0.0, 9))
((1, 0, 1), (180, 0.015625, 25))
((1, 0, 2), (177, 0.03125, 21))
((1, 0, 3), (425, 0.0625, 44))
((1, 0, 4), (108, 0.015625, 20))
((1, 0, 5), (248, 0.046875, 35))
((1, 0, 6), (187, 0.03125, 28))
((1, 0, 7), (709, 0.140625, 62))
((1, 0, 8), (536, 0.109375, 63))
((1, 0, 9), (536, 0.125, 60))
((1, 0, 10), (720, 0.140625, 61))
((1, 0, 11), (1463, 0.328125, 94))
((1, 0, 12), (1637, 0.453125, 137))
((1, 0, 13), (567, 0.140625, 63))
((1, 0, 14), (695, 0.1875, 85))
((1, 0, 15), (884, 0.296875, 92))
((1, 0, 16), (841, 0.234375, 68))
((1, 0, 17), (685, 0.15625, 73))
((1, 0, 18), (1260, 0.453125, 140))
((1, 0, 19), (3152, 1.171875, 187))
((1, 1, 0), (52, 0.0, 9))
((1, 1, 1), (132, 0.015625, 23))
((1, 1, 2), (76, 0.0, 16))
((1, 1, 3), (269, 0.046875, 31))
((1, 1, 4), (180, 0.03125, 30))
((1, 1, 5), (122, 0.0, 23))
((1, 1, 6), (206, 0.03125, 29))
((1, 1, 7), (437, 0.078125, 52))
((1, 1, 8), (400, 0.109375, 57))
((1, 1, 9), (566, 0.09375, 56))
((1, 1, 10), (788, 0.15625, 58))
((1, 1, 11), (950, 0.1875, 74))
((1, 1, 12), (1185, 0.328125, 125))
((1, 1, 13), (872, 0.1875, 67))
((1, 1, 14), (630, 0.15625, 84))
((1, 1, 15), (543, 0.171875, 85))
((1, 1, 16), (1026, 0.328125, 69))
((1, 1, 17), (533, 0.125, 72))
((1, 1, 18), (1267, 0.390625, 140))
((1, 1, 19), (4765, 1.875, 218))
((1, 2, 0), (52, 0.0, 9))
((1, 2, 1), (132, 0.015625, 23))
((1, 2, 2), (125, 0.015625, 21))
((1, 2, 3), (310, 0.046875, 34))
((1, 2, 4), (108, 0.015625, 20))
((1, 2, 5), (267, 0.046875, 36))
((1, 2, 6), (187, 0.03125, 28))
((1, 2, 7), (494, 0.09375, 49))
((1, 2, 8), (444, 0.078125, 54))
((1, 2, 9), (387, 0.078125, 55))
((1, 2, 10), (642, 0.125, 56))
((1, 2, 11), (1021, 0.234375, 74))
((1, 2, 12), (1336, 0.375, 132))
((1, 2, 13), (790, 0.203125, 72))
((1, 2, 14), (710, 0.21875, 88))
((1, 2, 15), (1228, 0.390625, 99))
((1, 2, 16), (1095, 0.34375, 68))
