C:\Users\paulz\anaconda3\envs\IPyHOP\python.exe "C:/Users/paulz/OneDrive/Documents/UMD/Research/Planning Nau/IPyHOP/examples/satellite/satellite_tests.py"
(2, 1000, 20, 3)
((0, 0, 0), (52, 0.015625, 9))
((0, 0, 1), (104, 0.046875, 28))
((0, 0, 2), (114, 0.046875, 23))
((0, 0, 3), (136, 0.03125, 30))
((0, 0, 4), (128, 0.046875, 24))
((0, 0, 5), (140, 0.046875, 33))
((0, 0, 6), (147, 0.0625, 22))
((0, 0, 7), (196, 0.078125, 39))
((0, 0, 8), (320, 0.1875, 55))
((0, 0, 9), (218, 0.125, 44))
((0, 0, 10), (411, 0.265625, 72))
((0, 0, 11), (376, 0.375, 77))
((0, 0, 12), (1114, 1.015625, 144))
((0, 0, 13), (523, 0.46875, 77))
((0, 0, 14), (465, 0.515625, 86))
((0, 0, 15), (375, 0.296875, 84))
((0, 0, 16), (321, 0.265625, 56))
((0, 0, 17), (259, 0.1875, 46))
((0, 0, 18), (518, 0.734375, 108))
((0, 0, 19), (802, 1.40625, 220))
((0, 1, 0), (52, 0.0, 9))
((0, 1, 1), (92, 0.015625, 21))
((0, 1, 2), (106, 0.046875, 21))
((0, 1, 3), (150, 0.0625, 34))
((0, 1, 4), (234, 0.125, 48))
((0, 1, 5), (140, 0.046875, 37))
((0, 1, 6), (135, 0.046875, 24))
((0, 1, 7), (190, 0.09375, 39))
((0, 1, 8), (320, 0.171875, 55))
((0, 1, 9), (210, 0.09375, 44))
((0, 1, 10), (258, 0.171875, 57))
((0, 1, 11), (372, 0.28125, 65))
((0, 1, 12), (457, 0.328125, 90))
((0, 1, 13), (550, 0.453125, 83))
((0, 1, 14), (338, 0.171875, 71))
((0, 1, 15), (495, 0.546875, 100))
((0, 1, 16), (326, 0.265625, 54))
((0, 1, 17), (241, 0.109375, 44))
((0, 1, 18), (519, 0.421875, 116))
((0, 1, 19), (799, 0.953125, 213))
((0, 2, 0), (52, 0.015625, 9))
((0, 2, 1), (100, 0.03125, 25))
((0, 2, 2), (106, 0.03125, 19))
((0, 2, 3), (136, 0.046875, 32))
((0, 2, 4), (253, 0.109375, 39))
((0, 2, 5), (140, 0.0625, 37))
((0, 2, 6), (139, 0.046875, 22))
((0, 2, 7), (186, 0.0625, 39))
((0, 2, 8), (275, 0.171875, 57))
((0, 2, 9), (216, 0.09375, 46))
((0, 2, 10), (364, 0.203125, 63))
((0, 2, 11), (375, 0.34375, 75))
((0, 2, 12), (501, 0.578125, 83))
((0, 2, 13), (573, 0.5, 84))
((0, 2, 14), (607, 0.609375, 94))
((0, 2, 15), (474, 0.546875, 104))
((0, 2, 16), (328, 0.28125, 54))
((0, 2, 17), (259, 0.1875, 46))
((0, 2, 18), (550, 0.890625, 105))
((0, 2, 19), (809, 1.6875, 221))
((0, 3, 0), (52, 0.015625, 9))
((0, 3, 1), (100, 0.03125, 25))
((0, 3, 2), (116, 0.046875, 19))
((0, 3, 3), (150, 0.046875, 34))
((0, 3, 4), (108, 0.015625, 17))
((0, 3, 5), (162, 0.09375, 42))
((0, 3, 6), (143, 0.0625, 24))
((0, 3, 7), (184, 0.046875, 39))
((0, 3, 8), (200, 0.078125, 46))
((0, 3, 9), (214, 0.109375, 46))
((0, 3, 10), (226, 0.109375, 47))
((0, 3, 11), (352, 0.234375, 76))
((0, 3, 12), (1036, 1.21875, 140))
((0, 3, 13), (328, 0.28125, 37))
((0, 3, 14), (342, 0.25, 73))
((0, 3, 15), (511, 0.859375, 113))
((0, 3, 16), (330, 0.28125, 54))
((0, 3, 17), (243, 0.140625, 47))
((0, 3, 18), (600, 1.0, 127))
((0, 3, 19), (789, 0.765625, 213))
((0, 4, 0), (52, 0.0, 9))
((0, 4, 1), (100, 0.03125, 25))
((0, 4, 2), (89, 0.03125, 11))
((0, 4, 3), (144, 0.046875, 36))
((0, 4, 4), (202, 0.09375, 39))
((0, 4, 5), (140, 0.046875, 37))
((0, 4, 6), (139, 0.046875, 27))
((0, 4, 7), (180, 0.046875, 39))
((0, 4, 8), (299, 0.1875, 56))
((0, 4, 9), (208, 0.109375, 46))
((0, 4, 10), (274, 0.15625, 57))
((0, 4, 11), (390, 0.421875, 68))
((0, 4, 12), (751, 0.984375, 126))
((0, 4, 13), (587, 0.375, 71))
((0, 4, 14), (376, 0.328125, 69))
((0, 4, 15), (468, 0.453125, 99))
((0, 4, 16), (310, 0.15625, 54))
((0, 4, 17), (255, 0.171875, 45))
((0, 4, 18), (505, 0.421875, 103))
((0, 4, 19), (813, 1.328125, 217))
((0, 5, 0), (52, 0.0, 9))
((0, 5, 1), (92, 0.015625, 21))
((0, 5, 2), (89, 0.03125, 11))
((0, 5, 3), (142, 0.046875, 30))
((0, 5, 4), (120, 0.03125, 20))
((0, 5, 5), (152, 0.078125, 43))
((0, 5, 6), (190, 0.09375, 33))
((0, 5, 7), (208, 0.140625, 49))
((0, 5, 8), (320, 0.140625, 55))
